(35, 8, 'Leo',  'Sudar', 'M', '1998-02-21', 182, 81, 4),
(36, 8, 'Ivano',  'Petrović', 'M', '1995-11-14', 185, 98, 9),
(37, 8, 'Lovro',  'Tomić', 'M', '1998-09-09', 168, 89, 1),
(38, 8, 'Nino',  'Lovrić', 'M', '1992-06-27', 170, 91, 9),
(39, 8, 'Marko',  'Radić', 'M', '2000-09-24', 177, 82, 6),
(40, 8, 'Dario',  'Perić', 'M', '2004-11-29', 181, 91, 9),
(41, 8, 'Emanuel',  'Šarić', 'M', '1990-05-10', 168, 76, 7),
(42, 8, 'Filip',  'Kovačević', 'M', '2007-02-22', 178, 93, 6),
(43, 8, 'Dino',  'Horvat', 'M', '1995-07-12', 207, 85, 3),
(44, 8, 'Petar',  'Kušec', 'M', '1994-02-26', 191, 80, 4),
(45, 8, 'Renato',  'Jakovljević', 'M', '2004-08-03', 205, 99, 6),
(46, 8, 'Emanuel',  'Božić', 'M', '1994-10-03', 186, 97, 8),
(47, 8, 'Toni',  'Knežić', 'M', '2006-09-08', 168, 99, 9),
(48, 8, 'Petar',  'Horvat', 'M', '2006-04-04', 180, 74, 7),
(49, 8, 'Petar',  'Marković', 'M', '2007-02-18', 160, 86, 1),
(50, 8, 'Dorian',  'Horvat', 'M', '1995-06-17', 191, 89, 5),
(51, 8, 'Kristijan',  'Dujmović', 'M', '1990-09-24', 163, 93, 1),
(52, 8, 'Toni',  'Marinović', 'M', '2000-05-12', 210, 100, 7),
(53, 8, 'Lovro',  'Vuković', 'M', '1994-01-30', 205, 94, 5),
(54, 8, 'Toni',  'Kovaček', 'M', '1990-03-12', 200, 84, 3),
(55, 8, 'Emanuel',  'Kovačević', 'M', '2006-03-17', 210, 98, 7),
(56, 8, 'Marin',  'Luketić', 'M', '2005-03-24', 165, 93, 1),
(57, 8, 'Josip',  'Petrović', 'M', '2003-05-24', 178, 82, 4),
(58, 8, 'David',  'Novak', 'M', '2003-01-13', 174, 73, 9),
(59, 8, 'Ilija',  'Mikulić', 'M', '2004-01-17', 165, 96, 7),
(60, 8, 'Borna',  'Mišić', 'M', '2002-05-09', 198, 83, 5),
(61, 8, 'Dominik',  'Nikolić', 'M', '1996-05-30', 184, 90, 8),
(62, 8, 'Marin',  'Marković', 'M', '2002-12-14', 191, 97, 2),
(63, 8, 'Ilija',  'Lovrić', 'M', '1990-07-08', 166, 89, 8),
(64, 8, 'Matija',  'Pavić', 'M', '1991-06-08', 192, 88, 6),
(65, 8, 'Davor',  'Jurić', 'M', '1990-09-10', 169, 78, 4),
(66, 8, 'Dominik',  'Barać', 'M', '2007-11-07', 193, 81, 6),
(67, 8, 'Filip',  'Marković', 'M', '2005-11-11', 207, 83, 6),
(68, 8, 'Stipe',  'Mišić', 'M', '1992-09-28', 209, 93, 2),
(69, 8, 'Stipe',  'Knežić', 'M', '2002-10-21', 182, 87, 10),
(70, 8, 'Mario',  'Bogdanović', 'M', '1995-01-03', 185, 94, 6),
(71, 8, 'Lovro',  'Matić', 'M', '2002-10-13', 160, 78, 10),
(72, 8, 'Stipe',  'Đurđević', 'M', '2004-06-14', 198, 86, 8),
(73, 8, 'Matej',  'Tomić', 'M', '1993-12-28', 201, 95, 1),
(74, 8, 'Matej',  'Mlinarić', 'M', '1999-06-21', 167, 98, 3),
(75, 8, 'Nikola',  'Babić', 'M', '1997-07-11', 191, 88, 7),
(76, 8, 'Gabriel',  'Kušec', 'M', '1991-11-06', 205, 78, 10),
(77, 8, 'Emanuel',  'Novak', 'M', '2002-04-23', 181, 98, 6),
(78, 8, 'Toni',  'Pavić', 'M', '1994-06-14', 172, 84, 7),
(79, 8, 'Josip',  'Sudar', 'M', '1993-09-16', 177, 84, 3),
(80, 8, 'Ljubomir',  'Petrović', 'M', '1990-03-17', 179, 77, 5),
(81, 8, 'Leo',  'Kos', 'M', '2001-03-10', 178, 90, 2),
(82, 8, 'Renato',  'Blažević', 'M', '2002-09-19', 200, 83, 2),
(83, 8, 'Karlo',  'Kovačić', 'M', '2007-01-04', 174, 96, 8),
(84, 8, 'Gabriel',  'Dujmović', 'M', '2002-11-24', 161, 86, 2),
(85, 8, 'Ivan',  'Kušec', 'M', '1994-04-10', 164, 79, 2),
(86, 8, 'Filip',  'Perić', 'M', '1994-07-05', 192, 87, 6),
(87, 8, 'Mario',  'Luketić', 'M', '2006-12-15', 183, 76, 7),
(88, 8, 'Marin',  'Luketić', 'M', '1998-01-10', 173, 100, 5),
(89, 8, 'Leo',  'Kovaček', 'M', '1992-03-12', 206, 71, 8),
(90, 8, 'Dario',  'Đurđević', 'M', '1993-07-12', 182, 80, 5),
